longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity
-117.24,32.79,20.0,961.0,278.0,525.0,254.0,4.138940000000001,245800.0,NEAR OCEAN
-121.29,38.01,2.0,6403.0,1116.0,3327.0,957.0,5.83323,137900.0,INLAND
-118.14,33.92,31.0,3731.0,853.0,2313.0,801.0,4.19081,218200.0,<1H OCEAN
-122.07,37.94,30.0,1260.0,276.0,707.0,221.0,3.7596,220800.0,NEAR BAY
-121.89,37.99,4.0,2171.0,597.0,928.0,461.0,5.33208,170500.0,INLAND
-121.25,37.97,41.0,855.0,189.0,716.0,206.0,2.64875,75000.0,INLAND
-121.98,37.27,25.0,3075.0,564.0,1633.0,543.0,6.82864,269400.0,<1H OCEAN
-117.96,33.94,34.0,2228.0,399.0,1159.0,378.0,6.35778,228900.0,<1H OCEAN
-122.1,37.39,35.0,2471.0,349.0,881.0,342.0,9.90977,500001.0,NEAR BAY
-122.39,40.53,28.0,1427.0,304.0,692.0,285.0,2.7625,80800.0,INLAND
-120.06,39.15,22.0,2213.0,372.0,98.0,42.0,1.5485600000000002,170000.0,INLAND
-117.27,34.13,36.0,3337.0,687.0,2388.0,589.0,3.85164,87800.0,INLAND
-117.85,33.9,25.0,1548.0,256.0,811.0,263.0,6.764810000000001,242200.0,<1H OCEAN
-122.01,37.98,25.0,1476.0,336.0,777.0,297.0,4.57327,165500.0,NEAR BAY
-120.39,37.96,10.0,2554.0,501.0,922.0,439.0,2.74222,164000.0,INLAND
-117.19,32.77,30.0,2747.0,640.0,3185.0,657.0,4.894500000000001,238000.0,NEAR OCEAN
-118.33,33.88,36.0,1271.0,346.0,811.0,345.0,4.21421,283300.0,<1H OCEAN
-118.1,33.79,36.0,3359.0,596.0,1522.0,565.0,6.73465,249400.0,<1H OCEAN
-120.61,35.1,17.0,2799.0,637.0,2015.0,592.0,3.96968,143600.0,<1H OCEAN
-122.43,37.74,52.0,2637.0,539.0,1159.0,497.0,5.04998,333100.0,NEAR BAY
-118.07,33.99,35.0,1625.0,302.0,1134.0,288.0,5.92735,164900.0,<1H OCEAN
-121.28,38.66,17.0,7741.0,1401.0,3153.0,1331.0,4.92297,216100.0,INLAND
-118.0,33.89,35.0,1011.0,183.0,578.0,171.0,5.18193,188700.0,<1H OCEAN
-120.07,36.98,12.0,1790.0,379.0,1399.0,397.0,3.3004400000000005,59600.0,INLAND
-120.69,35.52,26.0,2758.0,571.0,1291.0,522.0,3.8024999999999998,181400.0,<1H OCEAN
-122.4,37.62,44.0,1619.0,362.0,1064.0,335.0,5.2309399999999995,224200.0,NEAR OCEAN
-118.49,34.22,30.0,1756.0,314.0,899.0,288.0,6.54225,238200.0,<1H OCEAN
-118.32,33.9,36.0,1741.0,412.0,1245.0,423.0,5.374720000000001,210300.0,<1H OCEAN
-122.4,37.68,36.0,3595.0,815.0,1649.0,755.0,4.39608,253400.0,NEAR BAY
-116.95,33.75,19.0,2238.0,573.0,1190.0,507.0,2.69282,85800.0,INLAND
-117.21,34.12,32.0,1677.0,354.0,1021.0,339.0,4.79089,90900.0,INLAND
-118.2,33.77,40.0,2034.0,899.0,1257.0,797.0,1.67232,131300.0,NEAR OCEAN
-117.19,33.18,7.0,3561.0,722.0,1921.0,657.0,5.34664,209700.0,<1H OCEAN
