longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity
-117.24,32.79,16.351201997145424,961.0,278.0,525.0,254.0,3.1838,245800.0,NEAR OCEAN
-121.29,38.01,-1.6944723153851515,6403.0,1116.0,3327.0,957.0,4.4871,137900.0,INLAND
-118.14,33.92,29.930347345274413,3731.0,853.0,2313.0,801.0,3.2237,218200.0,<1H OCEAN
-122.07,37.94,29.594006699151482,1260.0,276.0,707.0,221.0,2.892,220800.0,NEAR BAY
-121.89,37.99,5.952844024849273,2171.0,597.0,928.0,461.0,4.1016,170500.0,INLAND
-121.25,37.97,43.13913674846418,855.0,189.0,716.0,206.0,2.0375,75000.0,INLAND
-121.98,37.27,23.925668739621443,3075.0,564.0,1633.0,543.0,5.2528,269400.0,<1H OCEAN
-117.96,33.94,34.636202114663114,2228.0,399.0,1159.0,378.0,4.8906,228900.0,<1H OCEAN
-122.1,37.39,36.57518161623205,2471.0,349.0,881.0,342.0,7.6229,500001.0,NEAR BAY
-122.39,40.53,27.074259441785507,1427.0,304.0,692.0,285.0,2.125,80800.0,INLAND
-120.06,39.15,20.65823585077173,2213.0,372.0,98.0,42.0,1.1912,170000.0,INLAND
-117.27,34.13,36.8785411494864,3337.0,687.0,2388.0,589.0,2.9628,87800.0,INLAND
-117.85,33.9,24.97462422683652,1548.0,256.0,811.0,263.0,5.2037,242200.0,<1H OCEAN
-122.01,37.98,24.429157683714493,1476.0,336.0,777.0,297.0,3.5179,165500.0,NEAR BAY
-120.39,37.96,12.502213893153453,2554.0,501.0,922.0,439.0,2.1094,164000.0,INLAND
-117.19,32.77,27.563528571344786,2747.0,640.0,3185.0,657.0,3.765,238000.0,NEAR OCEAN
-118.33,33.88,37.42589372883933,1271.0,346.0,811.0,345.0,3.2417,283300.0,<1H OCEAN
-118.1,33.79,39.91418897719243,3359.0,596.0,1522.0,565.0,5.1805,249400.0,<1H OCEAN
-120.61,35.1,18.226793895975263,2799.0,637.0,2015.0,592.0,3.0536,143600.0,<1H OCEAN
-122.43,37.74,53.83747598454845,2637.0,539.0,1159.0,497.0,3.8846,333100.0,NEAR BAY
-118.07,33.99,33.8497024420399,1625.0,302.0,1134.0,288.0,4.5595,164900.0,<1H OCEAN
-121.28,38.66,16.57668035852212,7741.0,1401.0,3153.0,1331.0,3.7869,216100.0,INLAND
-118.0,33.89,36.374415115476694,1011.0,183.0,578.0,171.0,3.9861,188700.0,<1H OCEAN
-120.07,36.98,9.872249423336942,1790.0,379.0,1399.0,397.0,2.5388,59600.0,INLAND
-120.69,35.52,26.837134641936498,2758.0,571.0,1291.0,522.0,2.925,181400.0,<1H OCEAN
-122.4,37.62,45.54227306138842,1619.0,362.0,1064.0,335.0,4.0238,224200.0,NEAR OCEAN
-118.49,34.22,32.492252337560174,1756.0,314.0,899.0,288.0,5.0325,238200.0,<1H OCEAN
-118.32,33.9,36.15626425136069,1741.0,412.0,1245.0,423.0,4.1344,210300.0,<1H OCEAN
-122.4,37.68,36.48902349967794,3595.0,815.0,1649.0,755.0,3.3816,253400.0,NEAR BAY
-116.95,33.75,20.255419231251988,2238.0,573.0,1190.0,507.0,2.0714,85800.0,INLAND
-117.21,34.12,33.388341588380534,1677.0,354.0,1021.0,339.0,3.6853,90900.0,INLAND
-118.2,33.77,41.36450605206842,2034.0,899.0,1257.0,797.0,1.2864,131300.0,NEAR OCEAN
-117.19,33.18,5.291995130873213,3561.0,722.0,1921.0,657.0,4.1128,209700.0,<1H OCEAN
-118.32,33.8,37.46364886408504,1415.0,298.0,729.0,278.0,3.1648,244800.0,<1H OCEAN
-117.21,32.81,26.432766012426207,1318.0,216.0,495.0,191.0,5.2837,283800.0,NEAR OCEAN
-121.85,37.72,40.65108635931965,228.0,40.0,83.0,42.0,10.3203,400000.0,INLAND
-122.47,37.73,50.23818887529556,2151.0,280.0,762.0,274.0,10.7309,500001.0,NEAR OCEAN
-121.63,39.15,23.842054123259388,2991.0,637.0,1419.0,606.0,1.8849,73500.0,INLAND
-117.14,32.8,35.66590679371156,1267.0,212.0,710.0,204.0,2.5368,169600.0,NEAR OCEAN
-117.7,33.48,4.290183632794429,16590.0,2696.0,6223.0,2357.0,6.3088,340300.0,<1H OCEAN
-117.69,34.08,31.17092245260652,4255.0,773.0,2129.0,730.0,4.5185,142500.0,INLAND
-120.04,36.74,13.096142399488514,3182.0,730.0,2298.0,721.0,1.6168,71800.0,INLAND
-117.7,33.62,14.323082078921034,9653.0,2000.0,4732.0,1922.0,3.7361,197200.0,<1H OCEAN
-123.21,39.14,42.4927955308011,1419.0,262.0,661.0,278.0,3.0,114600.0,<1H OCEAN
-121.81,37.25,18.42813545600697,3398.0,771.0,1231.0,744.0,2.0288,350000.0,<1H OCEAN
-118.23,34.1,40.052625751492926,1353.0,379.0,1536.0,416.0,2.1687,157000.0,<1H OCEAN
-117.4,33.95,46.53797478183318,2189.0,423.0,866.0,389.0,3.1384,111500.0,INLAND
-118.56,34.06,22.998370976479492,2332.0,349.0,761.0,325.0,7.3031,500001.0,<1H OCEAN
-122.44,37.78,48.44997687204528,1118.0,279.0,514.0,284.0,2.4196,346200.0,NEAR BAY
